server	intended	corrupted	ask	baidu	bing	duckduckgo	google	sogou	yahoo	yandex	youdao
1	Evernote	everbofe	true	true	true	true	true	false	true	false	true
2	Theverge	thdvdrge	false	true	true	true	true	false	true	false	true
3	Engadget	engaeg4t	false	false	true	true	true	false	true	false	true
5	Outbrain	outbfaib	false	false	true	true	false	false	true	false	false
1	Engadget	ebgaxget	false	false	true	true	true	false	true	false	true
2	Buzzfeed	bu`zceed	false	false	true	true	false	false	false	false	false
3	Usatoday	7sztoday	false	false	false	false	false	true	false	false	false
5	Softonic	diftonic	true	false	true	true	true	false	true	false	false
1	Whatsapp	whatssop	true	false	true	true	true	false	true	false	false
2	Engadget	engqdge5	false	false	true	true	true	false	true	false	false
3	Evernote	evefnotd	false	false	true	true	true	false	true	false	true
5	Gsmarena	gsmadrna	false	true	true	true	true	true	true	false	true
1	Buzzfeed	buzzfwes	true	true	true	true	true	false	true	false	false
2	Usatoday	iwatoday	false	true	false	false	false	false	false	false	false
3	Blogspot	blkgsppt	false	false	true	true	true	false	true	false	false
5	Gsmarena	gsmardns	false	true	true	true	true	false	true	false	false
1	Evernote	eceenote	true	false	true	true	true	false	true	false	true
2	Mashable	mashahlr	true	false	true	true	true	false	true	false	false
3	Engadget	engsdhet	true	true	true	true	true	false	true	false	true
5	Whatsapp	eh`tsapp	false	false	true	true	true	false	true	false	true
1	Theverge	tuev3rge	false	false	false	false	true	false	false	false	false
2	Mashable	mqahable	false	true	true	true	true	true	true	false	false
3	Flipkart	flipmadt	true	false	true	true	true	false	true	false	false
5	Blogspot	hlogspkt	false	true	true	true	true	false	true	false	true
1	Whatsapp	whqtaapp	true	true	false	true	true	true	false	false	true
2	Linkedin	l8nksdin	false	false	true	true	true	false	true	false	false
3	Softonic	softojid	false	false	true	true	true	false	true	false	false
5	Outbrain	outbrsih	false	true	false	true	true	false	true	false	false
1	Blogspot	hlogepot	false	true	false	true	true	false	false	false	true
2	Linkedin	lonkedkn	false	true	true	true	true	false	true	false	true
3	Linkedin	.inkefin	false	false	true	true	true	false	true	false	false
5	Usatoday	isstoday	false	false	true	true	false	false	true	false	false
1	Whatsapp	whstsqpp	true	true	false	true	true	false	false	false	true
2	Mashable	mqsyable	true	false	true	true	true	false	true	false	false
3	Linkedin	ljnkeein	false	false	true	true	true	false	true	false	true
5	Linkedin	kinmedin	true	false	false	true	true	true	false	false	true
1	Flipkart	flk-kart	false	true	true	false	false	false	false	false	false
2	Softonic	softojif	false	false	true	true	true	false	true	false	false
3	Buzzfeed	buzzfd3d	false	false	false	false	false	false	false	false	false
5	Flipkart	flu-kart	true	true	true	true	true	false	true	false	true
1	Blogspot	blogxpof	false	false	true	true	true	false	true	false	false
2	Gsmarena	gzmar4na	false	false	true	true	false	false	false	false	false
3	Whatsapp	wnatswpp	false	true	true	true	true	false	false	false	true
5	Evernote	4vernot3	false	false	true	true	true	false	true	false	false
1	Whatsapp	whatea[p	false	false	false	true	true	true	false	false	false
2	Softonic	wlftonic	false	false	false	false	true	false	false	false	false
3	Outbrain	outnfain	false	true	false	false	false	false	false	false	false
5	Usatoday	usayod`y	false	true	true	true	true	false	true	false	true
1	Mashable	naxhable	false	false	false	true	true	true	false	false	false
2	Softonic	softpnif	false	false	true	true	true	false	true	false	false
3	Theverge	thevedbe	false	false	false	false	false	false	false	false	true
5	Usatoday	udatodau	true	true	true	true	false	false	true	false	true
1	Usatoday	8satoda7	false	false	false	true	false	false	true	false	false
2	Linkedin	l8nkedjn	true	false	true	true	true	false	false	false	false
3	Whatsapp	whstwapp	true	false	false	true	true	true	true	false	true
5	Buzzfeed	bizzfded	true	true	true	true	true	false	true	false	false
1	Gsmarena	tsmarenq	false	true	false	true	true	false	false	false	false
2	Evernote	ebernite	false	false	true	true	true	false	true	false	false
3	Gsmarena	gskaren`	false	false	true	true	true	false	true	false	false
5	Blogspot	hlogs[ot	true	false	true	true	true	false	true	false	false
1	Engadget	engadg4r	false	false	true	false	true	false	false	false	false
2	Mashable	maehwble	false	false	true	true	true	false	true	false	false
3	Engadget	engadver	false	false	true	true	true	false	true	false	false
5	Mashable	maenable	false	false	false	false	false	false	false	false	false
1	Flipkart	fpipmart	false	false	false	true	true	false	false	false	false
2	Outbrain	oiybrain	false	false	true	true	true	false	true	false	false
3	Evernote	evern9re	false	false	false	true	true	true	false	false	false
5	Engadget	envadtet	false	false	true	true	true	false	true	false	true
1	Buzzfeed	bu`zfeec	false	false	true	true	false	false	false	false	false
2	Softonic	woftpnic	false	false	true	true	true	false	false	false	false
3	Flipkart	f;ipkary	false	false	false	false	false	false	false	false	false
5	Outbrain	iutbrajn	true	true	true	true	true	false	true	false	false
1	Mashable	masu`ble	false	false	false	false	true	false	false	false	false
2	Theverge	theve4gw	false	false	true	true	true	false	false	false	false
3	Theverge	tgeverg4	false	false	false	true	true	false	true	false	false
5	Flipkart	flipoarf	false	false	false	false	false	false	true	false	false
1	Flipkart	fli0kqrt	true	true	false	true	true	false	false	false	true
2	Theverge	theveegw	false	false	false	false	true	true	true	false	true
3	Usatoday	hsatiday	false	false	true	false	false	false	false	false	true
1	Buzzfeed	buzzdeex	false	true	true	true	true	true	true	false	false
2	Buzzfeed	buzxfeee	true	false	true	true	true	false	false	false	false
3	Outbrain	o8tbrqin	false	false	false	true	true	false	true	false	false
1	Engadget	ehtadget	false	true	true	true	true	false	true	true	true
2	Blogspot	boogspof	true	false	true	true	true	false	false	false	false
3	Outbrain	lutbrakn	false	true	false	false	true	false	false	false	false
1	Theverge	6hegerge	false	true	false	false	false	false	false	false	false
2	Buzzfeed	bhzzfded	false	true	true	true	true	false	false	false	false
3	Gsmarena	gsm`renq	true	false	false	true	true	false	false	false	false
1	Gsmarena	gsnaeena	false	false	true	true	true	false	true	false	false
2	Softonic	siftonoc	false	true	true	true	true	true	true	false	false
3	Evernote	eve4notr	false	false	false	true	true	false	false	false	false
1	Mashable	mashabkw	true	false	true	true	true	false	true	true	false
2	Softonic	softomiv	false	false	true	true	true	false	true	false	false
3	Outbrain	outbrqih	false	true	false	true	true	false	true	false	false
1	Flipkart	dli-kart	true	false	false	true	true	false	true	false	false
2	Linkedin	pinkedij	true	true	true	true	true	false	false	false	true
3	Gsmarena	gs,`rena	true	false	true	true	true	false	true	false	false
1	Theverge	tuevefge	false	false	false	true	false	false	true	false	true
2	Whatsapp	wnataapp	false	false	true	true	true	false	false	false	true
3	Blogspot	blpvspot	true	false	true	true	true	false	true	false	false
